user_id,signup_date,user_segment,variant_group
85,2025-09-25,student,control
86,2025-09-10,student,treatment
87,2025-09-03,professional,treatment
88,2025-09-28,professional,control
89,2025-09-08,career_changer,treatment
90,2025-09-28,student,control
91,2025-09-04,student,control
92,2025-09-13,professional,control
93,2025-09-09,professional,treatment
94,2025-09-15,professional,control
95,2025-09-21,professional,control
96,2025-09-27,student,control
97,2025-09-12,professional,treatment
98,2025-09-06,student,control
99,2025-09-12,student,control
100,2025-09-12,student,control
101,2025-09-07,student,control
102,2025-09-22,professional,treatment
103,2025-09-09,student,treatment
104,2025-09-23,professional,control
105,2025-09-30,career_changer,control
106,2025-09-22,student,control
107,2025-09-21,student,control
108,2025-09-03,professional,control
109,2025-09-20,student,treatment
110,2025-09-21,student,treatment
111,2025-09-06,student,treatment
112,2025-09-18,student,treatment
113,2025-09-24,career_changer,treatment
114,2025-09-08,career_changer,treatment
115,2025-09-06,professional,control
116,2025-09-15,career_changer,treatment
117,2025-09-13,career_changer,control
118,2025-09-09,student,control
119,2025-09-30,career_changer,treatment
120,2025-09-21,professional,control
121,2025-09-23,career_changer,control
122,2025-09-18,career_changer,treatment
123,2025-09-08,student,control
124,2025-09-22,student,control
125,2025-09-11,student,treatment
126,2025-09-27,student,treatment
127,2025-09-25,career_changer,treatment
128,2025-09-25,career_changer,control
129,2025-09-02,student,control
130,2025-09-08,professional,treatment
131,2025-09-27,student,treatment
132,2025-09-02,student,treatment
133,2025-09-26,student,control
134,2025-09-11,student,control
135,2025-09-13,career_changer,treatment
136,2025-09-09,student,control
137,2025-09-03,professional,treatment
138,2025-09-07,professional,control
139,2025-09-30,student,treatment
140,2025-10-01,career_changer,treatment
141,2025-09-19,career_changer,treatment
142,2025-09-29,student,control
143,2025-09-23,student,treatment
144,2025-09-11,student,treatment
145,2025-09-07,student,control
146,2025-09-21,student,treatment
147,2025-09-16,professional,treatment
148,2025-09-13,professional,treatment
149,2025-09-29,student,treatment
150,2025-09-30,student,control
151,2025-09-21,career_changer,control
152,2025-09-15,student,control
153,2025-09-05,student,treatment
154,2025-09-09,student,treatment
155,2025-09-05,career_changer,treatment
156,2025-09-08,student,control
157,2025-09-24,professional,control
158,2025-09-18,professional,treatment
159,2025-09-18,student,control
160,2025-09-09,professional,control
161,2025-09-24,student,treatment
162,2025-09-19,professional,control
163,2025-09-14,professional,control
164,2025-09-29,professional,control
165,2025-09-19,student,control
166,2025-09-13,career_changer,treatment
167,2025-09-12,student,control
168,2025-09-08,student,control
169,2025-09-05,student,control
170,2025-09-17,professional,treatment
171,2025-09-16,professional,control
172,2025-09-03,student,treatment
173,2025-09-25,professional,control
174,2025-09-02,student,control
175,2025-09-28,professional,control
176,2025-09-04,student,treatment
177,2025-09-05,professional,treatment
178,2025-09-21,student,control
179,2025-09-06,career_changer,treatment
180,2025-09-26,student,treatment
181,2025-09-22,student,control
182,2025-09-14,student,treatment
183,2025-09-20,career_changer,control
184,2025-09-03,career_changer,treatment
185,2025-09-13,student,treatment
186,2025-09-13,professional,treatment
187,2025-09-20,career_changer,treatment
188,2025-09-15,professional,control
189,2025-09-17,professional,treatment
190,2025-09-09,student,control
191,2025-09-18,student,control
192,2025-09-28,career_changer,treatment
193,2025-10-01,career_changer,treatment
194,2025-09-01,professional,treatment
195,2025-09-22,student,control
196,2025-09-24,student,treatment
197,2025-09-04,professional,treatment
198,2025-09-22,career_changer,control
199,2025-09-29,career_changer,control
200,2025-09-18,professional,control
201,2025-09-25,professional,control
202,2025-09-09,student,treatment
203,2025-09-25,student,treatment
204,2025-09-21,career_changer,treatment
205,2025-09-11,professional,treatment
206,2025-09-04,student,control
207,2025-09-10,student,treatment
208,2025-09-14,professional,control
209,2025-09-06,student,treatment
210,2025-09-15,student,control
211,2025-09-01,professional,treatment
212,2025-10-01,professional,control
213,2025-09-24,professional,control
214,2025-09-29,student,treatment
215,2025-09-24,professional,control
216,2025-09-09,student,treatment
217,2025-09-17,student,control
218,2025-09-25,professional,treatment
219,2025-09-06,professional,control
220,2025-09-17,career_changer,control
221,2025-09-30,professional,control
222,2025-09-04,professional,control
223,2025-09-28,student,control
224,2025-09-21,student,control
225,2025-09-10,student,control
226,2025-09-27,student,control
227,2025-09-21,career_changer,treatment
228,2025-09-17,student,treatment
229,2025-09-20,career_changer,control
230,2025-09-07,professional,treatment
231,2025-09-05,professional,treatment
232,2025-09-12,professional,control
233,2025-09-25,professional,treatment
234,2025-09-06,student,control
235,2025-09-18,student,treatment
236,2025-10-01,professional,control
237,2025-09-25,student,treatment
238,2025-09-30,student,treatment
239,2025-09-17,professional,control
240,2025-09-30,student,control
241,2025-09-01,career_changer,treatment
242,2025-09-20,career_changer,control
243,2025-09-11,career_changer,treatment
244,2025-09-16,student,treatment
245,2025-09-01,student,treatment
246,2025-09-04,career_changer,treatment
247,2025-09-30,student,treatment
248,2025-09-12,career_changer,treatment
249,2025-09-29,career_changer,control
250,2025-09-27,career_changer,control
251,2025-09-26,student,control
252,2025-09-10,student,treatment
253,2025-09-08,career_changer,treatment
254,2025-09-02,student,control
255,2025-09-08,student,treatment
256,2025-09-29,professional,control
257,2025-09-19,career_changer,control
258,2025-10-01,professional,treatment
259,2025-09-03,professional,control
260,2025-09-03,student,treatment
261,2025-09-24,professional,control
262,2025-09-16,career_changer,treatment
263,2025-09-27,student,treatment
264,2025-09-03,professional,control
265,2025-09-25,career_changer,treatment
266,2025-09-18,professional,treatment
267,2025-09-25,professional,control
268,2025-09-05,professional,control
269,2025-09-05,student,treatment
270,2025-09-22,student,control
271,2025-09-16,career_changer,control
272,2025-10-01,career_changer,control
273,2025-09-18,career_changer,control
274,2025-09-06,career_changer,treatment
275,2025-09-09,professional,control
276,2025-09-17,professional,control
277,2025-09-28,professional,control
278,2025-09-20,professional,control
279,2025-09-14,professional,treatment
280,2025-10-01,professional,control
281,2025-09-07,career_changer,treatment
282,2025-09-30,student,control
283,2025-09-18,student,control
284,2025-09-25,student,treatment
285,2025-09-24,professional,control
286,2025-09-23,student,treatment
287,2025-09-07,student,treatment
288,2025-09-23,professional,control
289,2025-09-10,student,control
290,2025-09-13,professional,treatment
291,2025-09-22,student,control
292,2025-09-21,student,control
293,2025-09-12,career_changer,control
294,2025-09-15,student,control
295,2025-09-29,student,treatment
296,2025-09-17,professional,control
297,2025-09-15,professional,control
298,2025-09-04,student,treatment
299,2025-09-08,professional,control
300,2025-09-08,student,control
301,2025-09-03,student,treatment
302,2025-09-11,professional,control
303,2025-09-01,professional,treatment
304,2025-09-19,professional,treatment
305,2025-09-18,professional,control
306,2025-09-08,career_changer,treatment
307,2025-09-19,professional,control
308,2025-09-08,student,control
309,2025-09-01,professional,treatment
310,2025-09-03,student,treatment
311,2025-09-23,student,control
312,2025-09-21,student,treatment
313,2025-09-02,student,treatment
314,2025-09-08,career_changer,treatment
315,2025-09-03,career_changer,treatment
316,2025-09-29,professional,control
317,2025-09-02,student,control
318,2025-09-28,student,treatment
319,2025-09-11,student,control
320,2025-09-03,student,treatment
321,2025-09-17,professional,control
322,2025-09-08,professional,control
323,2025-09-09,professional,control
324,2025-09-22,student,treatment
325,2025-09-16,career_changer,control
326,2025-09-07,professional,treatment
327,2025-09-18,professional,control
328,2025-09-05,professional,control
329,2025-09-24,student,control
330,2025-09-30,student,treatment
331,2025-09-29,student,control
332,2025-09-19,professional,control
333,2025-09-19,student,control
334,2025-09-16,student,control
335,2025-09-08,student,treatment
336,2025-09-26,student,treatment
337,2025-09-16,career_changer,control
338,2025-09-26,professional,treatment
339,2025-09-14,student,treatment
340,2025-09-07,student,control
341,2025-09-04,student,treatment
342,2025-09-04,student,treatment
343,2025-09-22,student,control
344,2025-09-14,student,control
345,2025-09-12,student,treatment
346,2025-09-14,professional,treatment
347,2025-09-14,professional,control
348,2025-09-15,student,control
349,2025-09-28,student,control
350,2025-09-24,professional,treatment
351,2025-09-02,professional,treatment
352,2025-09-22,career_changer,treatment
353,2025-09-21,professional,control
354,2025-09-21,student,treatment
355,2025-09-04,student,treatment
356,2025-09-02,professional,control
357,2025-09-13,student,control
358,2025-09-24,professional,treatment
359,2025-09-11,career_changer,treatment
360,2025-09-26,professional,control
361,2025-09-28,student,treatment
362,2025-09-04,professional,control
363,2025-09-08,student,treatment
364,2025-09-07,professional,treatment
365,2025-09-07,career_changer,treatment
366,2025-09-18,student,treatment
367,2025-09-15,career_changer,treatment
368,2025-09-05,career_changer,control
369,2025-09-14,student,treatment
370,2025-09-06,student,control
371,2025-09-09,student,control
372,2025-09-15,student,control
373,2025-09-08,student,control
374,2025-09-28,professional,treatment
375,2025-09-30,student,control
376,2025-09-03,student,treatment
377,2025-09-15,career_changer,treatment
378,2025-09-26,student,control
379,2025-09-28,career_changer,treatment
380,2025-09-28,student,control
381,2025-09-18,student,control
382,2025-09-04,professional,treatment
383,2025-09-02,professional,control
384,2025-09-21,career_changer,control
385,2025-09-18,professional,treatment
386,2025-09-27,career_changer,treatment
387,2025-09-01,student,control
388,2025-09-03,student,treatment
389,2025-09-30,professional,treatment
390,2025-09-25,career_changer,treatment
391,2025-09-28,career_changer,control
392,2025-09-08,student,treatment
393,2025-09-06,student,treatment
394,2025-09-14,professional,treatment
395,2025-09-16,student,treatment
396,2025-09-16,career_changer,control
397,2025-09-07,career_changer,control
398,2025-09-28,student,control
399,2025-09-13,professional,control
400,2025-09-29,professional,treatment
401,2025-09-02,student,control
402,2025-09-06,career_changer,treatment
403,2025-09-13,professional,treatment
404,2025-09-01,career_changer,control
405,2025-09-13,student,control
406,2025-09-09,career_changer,treatment
407,2025-09-30,student,treatment
408,2025-09-26,student,control
409,2025-09-26,career_changer,control
410,2025-09-15,student,treatment
411,2025-09-10,student,treatment
412,2025-09-14,career_changer,control
413,2025-09-23,career_changer,treatment
414,2025-10-01,professional,control
415,2025-09-24,professional,control
416,2025-09-26,student,control
417,2025-09-18,student,control
418,2025-09-22,student,control
419,2025-09-23,professional,control
420,2025-09-16,professional,control
421,2025-09-05,professional,control
422,2025-09-07,professional,control
423,2025-09-10,student,treatment
424,2025-09-07,student,control
425,2025-10-01,student,control
426,2025-09-02,professional,treatment
427,2025-09-19,student,treatment
428,2025-09-24,career_changer,control
429,2025-09-18,student,treatment
430,2025-09-02,student,treatment
431,2025-09-24,student,treatment
432,2025-09-11,professional,control
433,2025-09-02,professional,treatment
434,2025-09-02,student,control
435,2025-09-19,student,treatment
436,2025-09-16,professional,treatment
437,2025-09-17,student,control
438,2025-09-30,career_changer,treatment
439,2025-09-28,professional,control
440,2025-09-17,student,treatment
441,2025-09-06,student,control
442,2025-09-02,career_changer,control
443,2025-10-01,student,control
444,2025-09-17,student,treatment
445,2025-09-03,career_changer,control
446,2025-09-28,career_changer,control
447,2025-09-06,career_changer,control
448,2025-09-03,professional,treatment
449,2025-09-20,student,treatment
450,2025-09-03,student,control
451,2025-09-22,professional,control
452,2025-09-28,professional,control
453,2025-09-08,student,control
454,2025-09-13,career_changer,control
455,2025-09-04,student,treatment
456,2025-10-01,student,control
457,2025-09-29,student,control
458,2025-09-19,student,control
459,2025-09-08,student,treatment
460,2025-09-19,student,treatment
461,2025-09-20,student,treatment
462,2025-09-02,professional,control
463,2025-09-20,professional,control
464,2025-09-03,professional,control
465,2025-09-14,career_changer,control
466,2025-09-22,student,treatment
467,2025-09-19,student,treatment
468,2025-09-19,career_changer,treatment
469,2025-09-17,student,treatment
470,2025-09-11,career_changer,control
471,2025-09-30,student,treatment
472,2025-09-09,career_changer,control
473,2025-09-07,student,control
474,2025-09-22,career_changer,treatment
475,2025-09-23,professional,control
476,2025-09-11,career_changer,control
477,2025-09-08,student,control
478,2025-09-09,professional,treatment
479,2025-09-13,career_changer,treatment
480,2025-09-05,professional,control
481,2025-09-22,professional,treatment
482,2025-09-21,professional,control
483,2025-09-10,student,control
484,2025-09-15,professional,treatment
485,2025-09-11,professional,treatment
486,2025-09-30,career_changer,treatment
487,2025-09-25,student,control
488,2025-09-30,student,treatment
489,2025-09-03,career_changer,treatment
490,2025-09-01,career_changer,treatment
491,2025-09-15,student,control
492,2025-09-20,professional,treatment
493,2025-09-19,student,treatment
494,2025-09-04,student,control
495,2025-09-03,student,control
496,2025-09-18,student,control
497,2025-09-07,professional,treatment
498,2025-09-17,student,treatment
499,2025-09-09,career_changer,treatment
500,2025-09-05,career_changer,treatment
501,2025-09-30,professional,treatment
502,2025-09-12,professional,control
503,2025-09-29,student,control
504,2025-09-03,career_changer,control
505,2025-09-29,professional,control
506,2025-09-08,student,control
507,2025-09-12,career_changer,treatment
508,2025-09-10,career_changer,control
509,2025-09-06,career_changer,control
510,2025-09-15,professional,control
511,2025-09-27,professional,control
512,2025-09-18,student,treatment
513,2025-09-23,career_changer,treatment
514,2025-09-10,career_changer,treatment
515,2025-09-20,student,control
516,2025-09-26,student,treatment
517,2025-09-21,student,treatment
518,2025-09-17,career_changer,treatment
519,2025-09-01,career_changer,control
520,2025-09-22,student,treatment
521,2025-09-27,professional,treatment
522,2025-09-18,student,treatment
523,2025-09-10,career_changer,treatment
524,2025-09-30,career_changer,control
525,2025-09-22,career_changer,treatment
526,2025-09-04,student,control
527,2025-10-01,student,treatment
528,2025-09-29,student,control
529,2025-09-05,student,control
530,2025-09-09,career_changer,control
531,2025-09-04,career_changer,treatment
532,2025-09-29,career_changer,control
533,2025-09-04,career_changer,treatment
534,2025-09-24,professional,treatment
535,2025-09-18,professional,control
536,2025-09-05,career_changer,control
537,2025-09-09,career_changer,control
538,2025-09-10,student,treatment
539,2025-09-20,student,treatment
540,2025-09-07,student,control
541,2025-09-23,career_changer,control
542,2025-09-11,professional,treatment
543,2025-09-07,student,treatment
544,2025-09-22,professional,treatment
545,2025-09-21,professional,treatment
546,2025-09-28,student,control
547,2025-09-09,student,control
548,2025-09-17,professional,control
549,2025-09-16,professional,control
550,2025-09-09,professional,control
551,2025-09-29,professional,control
552,2025-09-30,career_changer,control
553,2025-09-28,professional,treatment
554,2025-09-02,professional,treatment
555,2025-09-03,career_changer,treatment
556,2025-09-21,student,treatment
557,2025-09-14,student,control
558,2025-09-27,student,treatment
559,2025-09-09,professional,control
560,2025-09-02,professional,treatment
561,2025-09-01,professional,control
562,2025-09-11,student,treatment
563,2025-09-25,student,control
564,2025-09-05,student,control
565,2025-09-21,student,treatment
566,2025-09-09,professional,control
567,2025-09-06,student,treatment
568,2025-09-24,student,treatment
569,2025-09-15,career_changer,treatment
570,2025-09-18,student,treatment
571,2025-09-23,professional,treatment
572,2025-09-14,professional,control
573,2025-09-18,student,treatment
574,2025-09-01,professional,treatment
575,2025-09-04,career_changer,treatment
576,2025-09-03,career_changer,control
577,2025-10-01,student,treatment
578,2025-09-29,career_changer,treatment
579,2025-09-23,student,treatment
580,2025-09-29,student,control
581,2025-09-05,student,control
582,2025-09-18,career_changer,control
583,2025-09-02,student,treatment
584,2025-09-27,student,treatment
585,2025-09-12,professional,control
586,2025-09-19,student,control
587,2025-09-18,student,control
588,2025-09-05,student,control
589,2025-09-14,student,treatment
590,2025-09-05,student,treatment
591,2025-09-02,student,control
592,2025-09-10,professional,treatment
593,2025-09-12,student,control
594,2025-09-29,student,treatment
595,2025-09-30,career_changer,control
596,2025-09-26,student,control
597,2025-09-28,professional,control
598,2025-09-02,student,treatment
599,2025-09-29,student,treatment
600,2025-09-12,student,treatment
601,2025-09-07,student,control
602,2025-09-22,student,control
603,2025-09-08,student,control
604,2025-09-22,student,treatment
605,2025-09-04,student,control
606,2025-09-12,student,treatment
607,2025-09-25,student,treatment
608,2025-09-18,student,treatment
609,2025-09-29,professional,control
610,2025-09-28,professional,control
611,2025-09-14,student,control
612,2025-09-20,professional,treatment
613,2025-09-24,professional,treatment
614,2025-09-05,student,control
615,2025-09-30,career_changer,control
616,2025-09-30,career_changer,treatment
617,2025-09-08,student,treatment
618,2025-09-28,student,control
619,2025-09-06,career_changer,treatment
620,2025-09-26,professional,control
621,2025-09-26,student,control
622,2025-09-06,student,treatment
623,2025-09-29,student,treatment
624,2025-09-14,student,treatment
625,2025-09-01,professional,control
626,2025-09-06,student,treatment
627,2025-09-24,student,control
628,2025-09-30,professional,control
629,2025-09-11,student,treatment
630,2025-09-26,student,control
631,2025-09-30,professional,treatment
632,2025-09-14,career_changer,treatment
633,2025-09-26,professional,control
634,2025-09-22,professional,control
635,2025-09-28,student,control
636,2025-09-24,student,control
637,2025-09-26,professional,treatment
638,2025-09-08,student,treatment
639,2025-09-09,student,control
640,2025-09-06,student,control
641,2025-09-26,student,treatment
642,2025-09-23,student,treatment
643,2025-09-04,student,control
644,2025-09-13,student,control
645,2025-09-28,student,treatment
646,2025-09-02,career_changer,control
647,2025-09-28,professional,control
648,2025-09-16,professional,treatment
649,2025-09-08,professional,treatment
650,2025-09-07,student,treatment
651,2025-09-27,student,treatment
652,2025-09-30,professional,treatment
653,2025-09-15,professional,control
654,2025-09-12,professional,control
655,2025-09-10,student,control
656,2025-09-27,student,control
657,2025-09-26,student,treatment
658,2025-09-28,student,treatment
659,2025-09-08,professional,treatment
660,2025-09-08,professional,treatment
661,2025-09-01,student,control
662,2025-09-22,career_changer,control
663,2025-09-07,professional,treatment
664,2025-09-13,student,treatment
665,2025-09-11,student,treatment
666,2025-09-09,student,treatment
667,2025-09-28,student,treatment
668,2025-09-03,student,treatment
669,2025-10-01,student,control
670,2025-09-25,student,treatment
671,2025-09-09,student,treatment
672,2025-09-12,career_changer,control
673,2025-09-21,student,treatment
674,2025-09-17,professional,control
675,2025-09-13,student,treatment
676,2025-09-22,career_changer,control
677,2025-09-27,student,treatment
678,2025-09-18,student,control
679,2025-09-11,career_changer,treatment
680,2025-10-01,career_changer,control
681,2025-09-01,career_changer,control
682,2025-09-04,student,control
683,2025-09-29,student,treatment
684,2025-09-09,professional,control
685,2025-09-06,career_changer,control
686,2025-09-19,professional,treatment
687,2025-10-01,professional,treatment
688,2025-09-09,student,treatment
689,2025-09-02,professional,control
690,2025-09-04,student,treatment
691,2025-09-20,student,control
692,2025-09-14,student,control
693,2025-09-12,professional,treatment
694,2025-09-24,student,treatment
695,2025-09-26,student,treatment
696,2025-09-11,professional,control
697,2025-09-14,student,control
698,2025-09-20,professional,control
699,2025-09-17,student,treatment
700,2025-09-04,student,control
701,2025-09-13,professional,control
702,2025-09-29,student,control
703,2025-09-19,student,treatment
704,2025-09-07,student,control
705,2025-09-09,student,treatment
706,2025-09-02,career_changer,control
707,2025-09-23,student,treatment
708,2025-09-14,career_changer,control
709,2025-09-01,student,treatment
710,2025-09-17,professional,treatment
711,2025-09-30,professional,control
712,2025-09-26,professional,treatment
713,2025-09-18,student,control
714,2025-09-22,student,treatment
715,2025-09-24,student,treatment
716,2025-10-01,career_changer,control
717,2025-09-24,career_changer,control
718,2025-09-24,career_changer,control
719,2025-09-22,student,control
720,2025-09-07,professional,control
721,2025-09-12,career_changer,control
722,2025-09-14,student,control
723,2025-09-03,student,treatment
724,2025-10-01,professional,control
725,2025-09-22,professional,control
726,2025-09-30,career_changer,treatment
727,2025-09-11,student,control
728,2025-09-20,professional,control
729,2025-09-11,student,control
730,2025-09-22,student,treatment
731,2025-09-28,student,treatment
732,2025-09-04,career_changer,control
733,2025-09-24,professional,treatment
734,2025-09-29,professional,treatment
735,2025-09-10,student,treatment
736,2025-09-17,career_changer,treatment
737,2025-09-10,student,treatment
738,2025-09-22,career_changer,control
739,2025-09-14,student,control
740,2025-09-11,student,control
741,2025-09-13,student,treatment
742,2025-09-23,student,treatment
743,2025-09-10,professional,treatment
744,2025-09-18,professional,treatment
745,2025-09-05,student,control
746,2025-09-07,career_changer,treatment
747,2025-09-14,student,treatment
748,2025-09-22,professional,treatment
749,2025-10-01,career_changer,treatment
750,2025-09-13,professional,treatment
751,2025-09-22,student,control
752,2025-09-24,career_changer,treatment
753,2025-09-29,professional,control
754,2025-09-06,student,treatment
755,2025-09-20,student,treatment
756,2025-09-19,professional,control
757,2025-09-10,professional,treatment
758,2025-09-13,professional,control
759,2025-09-18,career_changer,control
760,2025-09-27,professional,control
761,2025-09-01,student,treatment
762,2025-09-10,student,treatment
763,2025-09-10,student,treatment
764,2025-09-07,professional,control
765,2025-09-14,student,treatment
766,2025-09-26,professional,treatment
767,2025-09-19,professional,control
768,2025-09-20,career_changer,control
769,2025-09-21,student,control
770,2025-09-11,career_changer,treatment
771,2025-09-15,student,treatment
772,2025-09-15,career_changer,treatment
773,2025-09-15,student,control
774,2025-09-22,student,treatment
775,2025-09-07,professional,control
776,2025-09-17,student,control
777,2025-09-16,student,treatment
778,2025-09-26,professional,control
779,2025-09-29,professional,treatment
780,2025-10-01,professional,control
781,2025-09-26,professional,treatment
782,2025-09-24,professional,control
783,2025-09-06,student,treatment
784,2025-09-22,student,control
785,2025-09-03,student,control
786,2025-09-10,career_changer,treatment
787,2025-09-17,professional,control
788,2025-09-22,student,treatment
789,2025-09-21,student,treatment
790,2025-09-20,career_changer,control
791,2025-09-11,student,control
792,2025-09-03,professional,treatment
793,2025-09-27,professional,treatment
794,2025-10-01,professional,treatment
795,2025-09-25,student,treatment
796,2025-09-08,career_changer,treatment
797,2025-09-22,career_changer,control
798,2025-09-10,professional,treatment
799,2025-09-08,professional,treatment
800,2025-09-26,career_changer,control
801,2025-09-07,professional,control
802,2025-09-05,student,control
803,2025-09-01,professional,control
804,2025-09-02,professional,treatment
805,2025-09-08,student,control
806,2025-09-16,professional,control
807,2025-09-20,career_changer,control
808,2025-09-28,career_changer,treatment
809,2025-09-25,student,treatment
810,2025-09-03,student,control
811,2025-09-15,career_changer,control
812,2025-09-14,career_changer,treatment
813,2025-09-29,student,treatment
814,2025-09-21,career_changer,control
815,2025-09-19,career_changer,control
816,2025-09-07,professional,control
817,2025-09-23,professional,control
818,2025-09-23,student,treatment
819,2025-09-13,student,treatment
820,2025-09-16,student,control
821,2025-09-13,career_changer,treatment
822,2025-09-08,student,control
823,2025-09-05,student,treatment
824,2025-09-21,student,treatment
825,2025-09-23,professional,control
826,2025-09-01,career_changer,control
827,2025-09-29,student,treatment
828,2025-09-25,student,control
829,2025-09-28,professional,control
830,2025-09-25,student,treatment
831,2025-09-29,student,treatment
832,2025-09-04,student,control
833,2025-09-25,student,treatment
834,2025-09-14,student,control
835,2025-09-08,student,treatment
836,2025-09-06,student,treatment
837,2025-09-26,career_changer,treatment
838,2025-10-01,student,control
839,2025-09-23,professional,treatment
840,2025-09-17,professional,treatment
841,2025-09-15,student,control
842,2025-09-02,professional,control
843,2025-09-18,student,control
844,2025-09-08,career_changer,control
845,2025-09-30,student,treatment
846,2025-09-28,student,control
847,2025-09-04,student,control
848,2025-09-15,career_changer,treatment
849,2025-09-05,professional,control
850,2025-09-26,professional,treatment
851,2025-09-15,student,control
852,2025-09-22,professional,treatment
853,2025-09-17,student,treatment
854,2025-09-18,career_changer,treatment
855,2025-09-20,student,control
856,2025-09-11,student,treatment
857,2025-10-01,student,control
858,2025-09-25,student,control
859,2025-09-29,professional,control
860,2025-09-15,student,treatment
861,2025-09-20,professional,control
862,2025-09-27,student,treatment
863,2025-09-24,professional,control
864,2025-09-29,student,control
865,2025-09-17,student,treatment
866,2025-09-14,professional,control
867,2025-09-27,student,treatment
868,2025-09-30,student,control
869,2025-09-18,career_changer,treatment
870,2025-09-15,career_changer,treatment
871,2025-09-29,student,control
872,2025-09-06,student,control
873,2025-09-24,professional,treatment
874,2025-09-28,student,treatment
875,2025-09-16,student,control
876,2025-09-15,student,control
877,2025-09-09,professional,treatment
878,2025-09-25,professional,treatment
879,2025-09-08,student,control
880,2025-09-27,student,control
881,2025-09-21,student,control
882,2025-09-09,professional,treatment
883,2025-09-25,student,control
884,2025-09-25,student,treatment
885,2025-09-17,professional,control
886,2025-09-16,student,control
887,2025-09-21,professional,treatment
888,2025-09-08,student,treatment
889,2025-09-09,student,treatment
890,2025-09-15,student,control
891,2025-09-03,professional,treatment
892,2025-09-23,career_changer,treatment
893,2025-09-10,career_changer,control
894,2025-09-08,student,control
895,2025-09-09,professional,control
896,2025-09-11,student,control
897,2025-09-11,student,treatment
898,2025-09-29,career_changer,control
899,2025-09-18,student,treatment
900,2025-09-03,student,treatment
901,2025-09-05,student,treatment
902,2025-09-05,student,treatment
903,2025-09-08,student,control
904,2025-09-13,professional,control
905,2025-09-23,student,control
906,2025-09-05,career_changer,treatment
907,2025-09-23,career_changer,control
908,2025-09-07,student,treatment
909,2025-09-03,student,control
910,2025-09-14,student,control
911,2025-09-14,professional,control
912,2025-09-11,student,treatment
913,2025-09-18,professional,treatment
914,2025-09-15,student,control
915,2025-09-14,professional,treatment
916,2025-09-02,student,control
917,2025-09-07,student,treatment
918,2025-09-27,career_changer,treatment
919,2025-09-14,professional,control
920,2025-09-13,student,treatment
921,2025-09-29,career_changer,control
922,2025-09-25,student,treatment
923,2025-09-19,career_changer,control
924,2025-10-01,professional,treatment
925,2025-09-23,student,control
926,2025-09-01,student,treatment
927,2025-09-28,student,treatment
928,2025-09-29,professional,treatment
929,2025-09-25,professional,treatment
930,2025-09-19,student,treatment
931,2025-09-13,student,control
932,2025-09-16,career_changer,control
933,2025-09-01,career_changer,control
934,2025-10-01,professional,treatment
935,2025-09-12,student,control
936,2025-09-10,student,treatment
937,2025-09-25,student,treatment
